,Dataset,DetectionMethod,acc_slide_chunk,acc_std_default,ndd_std_default,eddr,f1,time
6,SEAa0,HDDM_W,0.8438,0.8588,3,0.6084,0.888520448,0.8
7,SEAa0,PageHinkley,0.8438,0.8559,3,0.6083,0.88670493,0.8
8,HYPi,Capsnet,0.8163,0.8685,3,0.5087,0.872193605,0.8
9,HYPi,HANG,0.8163,0.8639,1,0.5087,0.867516792,0.8
10,HYPi,ADWIN,0.8163,0.8685,0,0.5087,0.872193605,0.8
11,HYPi,DDM,0.8163,0.8611,2,0.5088,0.8642096,0.8
12,HYPi,EDDM,0.8163,0.8612,2,0.5088,0.864400156,0.8
13,HYPi,HDDM_A,0.8163,0.8685,0,0.5087,0.872193605,0.8
14,HYPi,HDDM_W,0.8163,0.8645,1,0.5087,0.866725681,0.8
15,HYPi,PageHinkley,0.8163,0.8685,0,0.5087,0.872193605,0.8
16,AGRa,Capsnet,0.703,0.6289,3,0.4992,0.624658643,0.8
17,AGRa,HANG,0.703,0.6289,0,0.4992,0.624658643,0.8
18,AGRa,ADWIN,0.703,0.713,3,0.4888,0.689528343,0.8
19,AGRa,DDM,0.703,0.7129,2,0.492,0.689319338,0.8
20,AGRa,EDDM,0.703,0.651,4,0.4914,0.618328959,0.8
21,AGRa,HDDM_A,0.703,0.7237,2,0.4911,0.700617618,0.8
22,AGRa,HDDM_W,0.703,0.7245,3,0.493,0.708125861,0.8
23,AGRa,PageHinkley,0.703,0.7142,2,0.4924,0.692952299,0.8
24,RTGn,Capsnet,0.6456,0.668,2,0.6153,0.749886997,0.8
25,RTGn,HANG,0.6456,0.669,1,0.6153,0.752097064,0.8
26,RTGn,ADWIN,0.6456,0.668,0,0.6153,0.749886997,0.8
27,RTGn,DDM,0.6456,0.668,0,0.6153,0.749886997,0.8
28,RTGn,EDDM,0.6456,0.6526,12,0.615,0.740008981,0.8
29,RTGn,HDDM_A,0.6456,0.668,0,0.6153,0.749886997,0.8
30,RTGn,HDDM_W,0.6456,0.6632,2,0.6149,0.748993889,0.8
31,RTGn,PageHinkley,0.6456,0.668,0,0.6153,0.749886997,0.8
32,RBFi,Capsnet,0.6931,0.715,3,0.4658,0.683895297,0.8
33,RBFi,HANG,0.6931,0.7103,1,0.4659,0.68307625,0.8
34,RBFi,ADWIN,0.6931,0.715,0,0.4658,0.683895297,0.8
35,RBFi,DDM,0.6931,0.715,0,0.4658,0.683895297,0.8
36,RBFi,EDDM,0.6931,0.6783,29,0.4641,0.648914111,0.8
37,RBFi,HDDM_A,0.6931,0.715,0,0.4658,0.683895297,0.8
38,RBFi,HDDM_W,0.6931,0.6989,3,0.4657,0.667770054,0.8
39,RBFi,PageHinkley,0.6931,0.7152,1,0.4658,0.6843272,0.8
